Data,NE,NW,SE,SW
43285,0.4,0.05,0,0
43286,0.1,0.4,0.78,1.520588235
43287,0,0.8,4.162222222,6.918
43288,1.330769231,2.6,2.961904762,0.58
43289,0.8,0,3.609375,1.145454545
43290,0.428571429,2.113793103,1.617647059,2.556603774
43291,3.5,7.865217391,3.77037037,6.781460674
43292,6.539393939,21.77445652,10.56238532,6.972677596
43293,11.9,9.027044025,4.03255814,6.652046784
43294,6.97195122,10.90126582,5.088888889,4.458285714
43295,12.10434783,3.381355932,8.503809524,3.795
43296,11.80675676,4.328,8.3,1.876190476
43297,12.93152174,7.666467066,12.03486239,5.610493827
43298,18.76521739,26.93636364,21.50377358,20.2027027
43299,5.136538462,14.38554913,33.16074766,16.4327957
43300,3.538709677,3.907462687,5.738095238,6.273333333
43301,6.257142857,2.7875,4.176119403,3.935294118
43302,0.3,2.066666667,2.2,1.066666667
43303,0.1,0,10.63243243,4.753846154
43304,5.311111111,1.95,7.904545455,1.889473684
43305,4.025925926,0.85,4.825925926,0
43306,3.075,3.2125,5.436486486,1.894871795
43307,1.319047619,2.159459459,4.12183908,3.838383838
43308,4.111363636,2.941666667,4.409756098,5.644247788
43309,3.727272727,4.857843137,3.116666667,2.818032787
43310,14.7345679,4.819230769,8.329577465,7.057446809
43311,9.272413793,1.258333333,1.870689655,2.795652174
43312,3.155555556,1.85,3.668085106,1.276190476
43313,1.05,5.542857143,3.968965517,1.785714286
43314,2.285714286,6.033962264,2.5375,2.578947368
43315,7.56,1.942857143,2.7,2.861538462
43316,4.408571429,4.039694656,3.577586207,4.133082707
43317,3.410909091,2.557142857,7.39673913,7.376785714
43318,1.133333333,0.336666667,0.483333333,0.225
43319,0.2,0,,1.266666667
43320,0.1,3.359375,4.514285714,3.759223301
43321,3.88,1.698913043,1.614285714,5.271212121
43322,8.520454545,1.641509434,18.36494845,6.462777778
43323,12.81444444,3.170748299,7.453333333,2.224576271
43324,0.1,0.973076923,0.15,1.25
43325,5.2,1.97826087,1.85,3.102105263
43326,6.667073171,3.078873239,10.72970297,3.328037383
43327,1.716,3.286363636,2.378431373,0.617391304
43328,1.7,0.075,0.585714286,0.04
43329,2.94,0.972,4.66,1
43330,5.584,0.530769231,1.925,1.375
43331,4.854545455,0,3.276923077,0.15
43332,0.62,0.313793103,1.1,2.463157895
43333,,0.1,0,0.190909091
43334,,0,,0
43335,0.4,1.2975,1.775,1.075
43336,6.992592593,6.10505618,7.360747664,8.074731183
43337,7.530434783,2.584023669,5.869724771,5.189506173
43338,4.714925373,1.56,8.761904762,4.483018868
43339,0.228571429,0.982539683,0.15,0.242857143
43340,2.863157895,1.871428571,0.222222222,1.5
43341,0.1,0.016666667,0.1,0.066666667
43342,1.26,1.772368421,1.901754386,2.967816092
43343,0.45,1.147474747,1.395454545,1.245333333
43344,0.9,4.057142857,6.06,13.61328671
43345,0,0.142857143,12.24285714,10.38037383
43346,0.2,2.45,11.47021277,6.561702128
43347,8.031034483,1.466666667,4.988709677,6.828571429
43348,3.091304348,0.916666667,5.4,0.995833333
43349,1.6,1.660714286,1.28974359,0.4
43350,4.8,0.663366337,1.781818182,1.1203125
43351,6.241666667,1.266666667,5.72962963,2.287951807
43352,0.4375,0,0.17,0.025
43353,0.316666667,0.722689076,0.5625,0.292857143
43354,0.142857143,0.598765432,0.294444444,0.246753247
43355,0.582352941,1.065789474,0.2,0.14
43356,1.883561644,3.320895522,8.2425,3.450381679
43357,1.252941176,1.528571429,8.145192308,5.245142857
43358,2.233333333,1.369333333,2.82247191,1.055769231
43359,0.633333333,0.15,0.066666667,0.18
43360,,0.05,,0
43361,,0,,0
43362,,0,,0.04
43363,,0,,0.35
43364,1.403529412,6.205851064,5.239393939,6.267027027
43365,0.610416667,3.376146789,3.971794872,0.978181818
43366,12.63296703,11.56666667,13.12909091,16.79786096
43367,5.841758242,5.587845304,3.181481481,4.483152174
43368,1.440350877,0.889090909,1.301369863,1.099009901
43369,3.863736264,0.786597938,0.73030303,0.542857143
43370,0.686046512,1.062195122,0.525,0.5
43371,1.125925926,1.248529412,2.659649123,1.070454545
43372,0.566666667,0.182352941,0.2,0.177777778
43373,0.1,0,0.1,0
43374,1.65,1.964285714,1.580851064,2.486013986
43375,2.019047619,5.15136612,4.946666667,2.879459459
43376,4.952222222,3.113186813,2.422222222,2.000552486
43377,1.166666667,0.427777778,0.4,0.184615385
43378,0.866666667,0.028571429,0,0
43379,0.1,0.5,0.166666667,0
43380,0.876666667,1.362666667,0.72173913,0.273076923
43381,0.1,0.05,0.042857143,0.042857143
43382,0.15,0.025,0.057142857,0.02
43383,,0.083333333,0.075,0
43384,0.2,0.05,0.066666667,0
43385,,0,0.033333333,0
43386,0.2,0,0,0
43387,,0.066666667,0,0
43388,,0,0,0
43389,0.1,0,0,0.053846154
43390,0.4,0.42,0,1.537254902
43391,0.1,0.135714286,0.083333333,1.302439024
43392,0.128571429,0.6275,0.305714286,0.716091954
43393,0.861764706,1.794117647,6.116346154,1.953642384
43394,0,0.147368421,1.038461538,0.557377049
43395,1.856521739,2.912432432,1.345098039,1.472881356
43396,18.74456522,15.80851064,15.55636364,16.24919786
43397,4.709090909,1.976271186,1.277,1.372839506
43398,6.998913043,2.832608696,6.168807339,3.245303867
43399,0.884848485,1.383333333,0.208695652,0.455
43400,1.090625,3.103896104,9.734020619,7.18951049
43401,9.111235955,4.922147651,7.856074766,17.66344086
43402,1.455555556,0.47079646,0.592647059,0.440909091
43403,0.5,0.302380952,0.92,0.8
43404,0.1,0,0.033333333,0.08
43405,0.069565217,0,0.357575758,0.073333333
43406,0.658139535,2.459139785,1.255555556,5.987362637
43407,3.677777778,1.391891892,1.052083333,1.748809524
43408,0.325806452,0.171428571,0.213043478,0.144827586
43409,0.132258065,0.088888889,0.15,0.114285714
43410,0.083333333,0.033333333,0.05,0.014285714
43411,0.075,0.118181818,,0
43412,0.207692308,0.222988506,0.116666667,0.10952381
43413,0.3375,0.226923077,0.2,0.060869565
43414,0.575,0.131034483,0.05,0.046153846
43415,0.22,0.74875,1.2,0.131818182
43416,0.1375,0.595744681,0.94,0.076923077
43417,10.98152174,8.33315508,3.056074766,2.935483871
43418,2.086046512,1.106034483,1.722115385,0.425316456
43419,0.133333333,0.188888889,2.017391304,0.075
43420,0.166666667,0.075,0.428571429,0.075
43421,0.73125,0.333333333,0.22,0.0375
43422,2.152222222,1.604117647,1.344303797,1.47245509
43423,0.443589744,0.649074074,0.356321839,0.262773723
43424,0.17,0.991666667,1.236363636,1.594230769
43425,0.1,0.164705882,0.151724138,0.202173913
43426,0.25,0.0875,0.193478261,0.175257732
43427,0.091304348,0.095833333,0.066666667,0.14375
43428,0.858490566,0.547222222,1.538461538,1.015
43429,0.564814815,0.568918919,4.049122807,0.441176471
43430,0.43,0.358823529,5.486792453,0.448
43431,0.795,1.291176471,0.186538462,0.102631579
43432,0.011111111,0.057142857,0.004255319,0.005555556
43433,0.05,0.036363636,0,0
43434,0.2,1.49375,0.348571429,0.337037037
43435,0.285714286,0.339506173,0.279032258,0.330769231
43436,1.463953488,3.494054054,1.540566038,3.198924731
43437,4.606451613,3.837967914,1.516513761,2.894148936
43438,2.856521739,1.1,3.757009346,2.548275862
43439,0.444444444,0.721875,0.015789474,0.236
43440,4.489247312,3.077777778,1.081443299,0.955782313
43441,9.723655914,9.170108696,5.93,4.242473118
